,x,y,z
0,-25,-98,-12
1,27,-97,-13
2,24,32,-18
3,-56,-45,-24
4,8,41,-24
5,-21,-22,-20
6,17,-28,-17
7,-37,-29,-26
8,65,-24,-19
9,52,-34,-27
10,55,-31,-17
11,34,38,-12
12,-7,-52,61
13,-14,-18,40
14,0,-15,47
15,10,-2,45
16,-7,-21,65
17,-7,-33,72
18,13,-33,75
19,-54,-23,43
20,29,-17,71
21,10,-46,73
22,-23,-30,72
23,-40,-19,54
24,29,-39,59
25,50,-20,42
26,-38,-27,69
27,20,-29,60
28,44,-8,57
29,-29,-43,61
30,10,-17,74
31,22,-42,69
32,-45,-32,47
33,-21,-31,61
34,-13,-17,75
35,42,-20,55
36,-38,-15,69
37,-16,-46,73
38,2,-28,60
39,3,-17,58
40,38,-17,45
41,-49,-11,35
42,36,-9,14
43,51,-6,32
44,-53,-10,24
45,66,-8,25
46,-3,2,53
47,54,-28,34
48,19,-8,64
49,-16,-5,71
50,-10,-2,42
51,37,1,-4
52,13,-1,70
53,7,8,51
54,-45,0,9
55,49,8,-1
56,-34,3,4
57,-51,8,-2
58,-5,18,34
59,36,10,1
60,32,-26,13
61,65,-33,20
62,58,-16,7
63,-38,-33,17
64,-60,-25,14
65,-49,-26,5
66,43,-23,20
67,-50,-34,26
68,-53,-22,23
69,-55,-9,12
70,56,-5,13
71,59,-17,29
72,-30,-27,12
73,-41,-75,26
74,6,67,-4
75,8,48,-15
76,-13,-40,1
77,-18,63,-9
78,-46,-61,21
79,43,-72,28
80,-44,12,-34
81,46,16,-30
82,-68,-23,-16
83,-58,-26,-15
84,27,16,-17
85,-44,-65,35
86,-39,-75,44
87,-7,-55,27
88,6,-59,35
89,-11,-56,16
90,-3,-49,13
91,8,-48,31
92,15,-63,26
93,-2,-37,44
94,11,-54,17
95,52,-59,36
96,23,33,48
97,-10,39,52
98,-16,29,53
99,-35,20,51
100,22,39,39
101,13,55,38
102,-10,55,39
103,-20,45,39
104,6,54,16
105,6,64,22
106,-7,51,-1
107,9,54,3
108,-3,44,-9
109,8,42,-5
110,-11,45,8
111,-2,38,36
112,-3,42,16
113,-20,64,19
114,-8,48,23
115,65,-12,-19
116,-56,-13,-10
117,-58,-30,-4
118,65,-31,-9
119,-68,-41,-5
120,13,30,59
121,12,36,20
122,52,-2,-16
123,-26,-40,-8
124,27,-37,-13
125,-34,-38,-16
126,28,-77,-32
127,52,7,-30
128,-53,3,-27
129,47,-50,29
130,-49,-42,1
131,-31,19,-19
132,-2,-35,31
133,-7,-71,42
134,11,-66,42
135,4,-48,51
136,-46,31,-13
137,-10,11,67
138,49,35,-12
139,8,-91,-7
140,17,-91,-14
141,-12,-95,-13
142,18,-47,-10
143,40,-72,14
144,8,-72,11
145,-8,-81,7
146,-28,-79,19
147,20,-66,2
148,-24,-91,19
149,27,-59,-9
150,-15,-72,-8
151,-18,-68,5
152,43,-78,-12
153,-47,-76,-10
154,-14,-91,31
155,15,-87,37
156,29,-77,25
157,20,-86,-2
158,15,-77,31
159,-16,-52,-1
160,42,-66,-8
161,24,-87,24
162,6,-72,24
163,-42,-74,0
164,26,-79,-16
165,-16,-77,34
166,-3,-81,21
167,-40,-88,-6
168,37,-84,13
169,6,-81,6
170,-26,-90,3
171,-33,-79,-13
172,37,-81,1
173,-44,2,46
174,48,25,27
175,-47,11,23
176,-53,-49,43
177,-23,11,64
178,58,-53,-14
179,24,45,-15
180,34,54,-13
181,-21,41,-20
182,-18,-76,-24
183,17,-80,-34
184,35,-67,-34
185,47,10,33
186,-41,6,33
187,-42,38,21
188,38,43,15
189,49,-42,45
190,-28,-58,48
191,44,-53,47
192,32,14,56
193,37,-65,40
194,-42,-55,45
195,40,18,40
196,-34,55,4
197,-42,45,-2
198,33,-53,44
199,43,49,-2
200,-42,25,30
201,-3,26,44
202,11,-39,50
203,55,-45,37
204,42,0,47
205,31,33,26
206,48,22,10
207,-35,20,0
208,36,22,3
209,37,32,-2
210,34,16,-8
211,-11,26,25
212,-1,15,44
213,-28,52,21
214,0,30,27
215,5,23,37
216,10,22,27
217,31,56,14
218,26,50,27
219,-39,51,17
220,2,-24,30
221,6,-24,0
222,-2,-13,12
223,-10,-18,7
224,12,-17,8
225,-5,-28,-4
226,-22,7,-5
227,-15,4,8
228,31,-14,2
229,23,10,1
230,29,1,4
231,-31,-11,0
232,15,5,7
233,9,-4,6
234,54,-43,22
235,-56,-50,10
236,-55,-40,14
237,52,-33,8
238,51,-29,-4
239,56,-46,11
240,53,33,1
241,-49,25,-1
242,-16,-65,-20
243,-32,-55,-25
244,22,-58,-23
245,1,-62,-18
246,33,-12,-34
247,-31,-10,-36
248,49,-3,-38
249,-50,-7,-39
250,10,-62,61
251,-52,-63,5
252,-47,-51,-21
253,46,-47,-17
254,47,-30,49
255,22,-65,48
256,46,-59,4
257,25,-58,60
258,-33,-46,47
259,-27,-71,37
260,-32,-1,54
261,-42,-60,-9
262,-17,-59,64
263,29,-5,54
